accepted_record_range,comparison_status,closed_or_reserved_family,treatment_in_T193
through_T190,inspected accepted comparison ledger,constant-length substitution exact Fourier ray,not used and not rediscovered
through_T190,inspected accepted comparison ledger,automatic linear-complexity collision floor,not used and not rediscovered
through_T190,inspected accepted comparison ledger,automatic coefficient against rational nonlinear phase,not used and not rediscovered
through_T190,inspected accepted comparison ledger,Mahler automatic and structured-sum screening,F uses a new ternary-product recurrence source and energy-floor discriminator
through_T190,inspected accepted comparison ledger,Pade interpolation determinant occupancy,H uses a new apwenian source and scalar-approximation mismatch discriminator
through_T190,inspected accepted comparison ledger,predictive Hankel or Prony rank,no rank inference is made
through_T190,inspected accepted comparison ledger,rational-tail and factorial pi representations,not searched
through_T190,inspected accepted comparison ledger,pi-specific representation and direction inventories,not searched
through_T190,inspected accepted comparison ledger,ambient fractal or metric Fourier mechanisms,not searched
through_T190,inspected accepted comparison ledger,base-compatible rational diagonal residue automata,R uses this distinct decimation fingerprint; no automatic rational-phase theorem is used
