item,verification_boundary,normalized_fingerprint,T183_separation
T144,"unverified proof-sketch note","residue extraction to disjoint blocks plus Renyi/Shannon method-of-types census","T183 keeps every overlapping collision and applies generalized self-bounding concentration; no census or disjointization premise"
T147,"unverified proof-sketch note","shared-prefix counterfamily against additive reuse of one-depth entropy savings","T183 is a one-statistic tail certificate and does not assert the additive multidepth saving refuted by the note"
T150,"source statements literature-checked; transfers proof sketch","separately-Lipschitz Gibbs concentration plus multidepth census with coordinate-reuse m^4 loss","nearest concentration comparator; T183 replaces coordinate Lipschitz squares by a self-bounding decrement sum and obtains m^3"
T152,"unverified proof-sketch note","maximal-bad-depth localization plus fractional coordinate-cover census","T183 uses neither maximal-depth localization nor entropy covering"
T154,"unverified proof-sketch note plus experiment","finite reuse-capacity entropy linear program and coordinate-price dual","T183's deletion charges certify self-bounding concentration; they are not an entropy LP or its dual"
T159,"literature-checked source theorem; collision transfer proof sketch","marked Palm-Stein Poisson process for unordered off-diagonal overlapping collisions","same iid substrate but different object: distributional Poisson approximation versus a direct upper tail"
T161,"unverified proof-sketch note","maximal same-lag chain declumping and compound-Poisson cumulants","T183 neither declumps nor approximates a process; arbitrary indicator dependence remains inside a product-space function"
T168,"unverified proof-sketch note","mixed-lag collision-cluster equality-graph ranks and intensities","its rank is equality-constraint rank; T183 S2 screens the linear-algebra rank 10^m-1 of an exact PSD kernel"
T170,"unverified proof-sketch note","ordinary third-cumulant expansion and positive triangle contribution","third cumulant is unrelated to T183's exponent gamma=3; T183 makes no low-cumulant approximation"
T172,"unverified proof-sketch note","fourth-cumulant equality-graph classification and occupancy-only nonabsorption witness","T183 retains the full digit function and uses no occupancy-only closure"
T174,"active untrusted comparison artifact; skeptic verdict revise for locator defects","Kifer sparse-offset Poisson screen; finite-field trace-product square-root candidate; Burgess screen","different theorem objects and processes; T183 imports no T174 theorem or locator and reuses none of its stable IDs"
T177,"source statements selectively literature-checked; derivation unverified proof sketch","McDiarmid bounded differences on ordered diagonal-inclusive overlapping energy plus effective randomness test","T183 independently rederives the same baseline, then improves m^4 to m^3 by self-bounding; it makes no randomness-test or named-point claim"
