comparator,verification_boundary,clause,comparator_content,T186_boundary,duplication_disposition
T164,"unverified proof-sketch note; source pins literature-checked",definitions_and_endpoints,"note defines overlapping starts, multiplicity, and ordered diagonal-inclusive energy on infinite fixed points","T186 adopts the same mathematical convention but anchors it to kernel-checked T166 legalStartCount/factorAt/collisionEnergy and states L=N+m-1 explicitly",covered_not_novel
T164,"unverified proof-sketch note; source pins literature-checked",power_separation,"note argues for an effective generic primitive-substitution constant and examples only Fibonacci and Thue--Morse","T186 imports no note deduction; it independently instantiates pinned S2 Lemma 13/Theorem 17 for all d-bonacci tau_d with P_d=16D_dD_(2d+1)",distinct_family_instantiation
T164,"unverified proof-sketch note; source pins literature-checked",two_sided_energy,"note supplies a generic upper packing argument but no d-bonacci factor-complexity lower bound or two-sided theorem","T186 combines S1 p_d(m)=(d-1)m+1 with the explicit upper certificate for c_d=1/(2(d-1)), C_d=32D_dD_(2d+1), N0=2",not_covered
T166,"machine-checked Lean; generic finite-word sibling",legal_starts_endpoints_multiplicity_energy,"legalStartCount L m=L+1-m; factorAt includes final legal coordinate; multiplicity and ordered diagonal-inclusive energy are exact","T186 uses this interface at L=N+m-1 without redeclaration in Lean",covered_reused
T166,"machine-checked Lean; generic finite-word sibling",upper_packing,"external PPowerFree certificate implies equal-start separation, factorMultiplicity packing, and collisionEnergy upper bound","T186 supplies the missing source-specific P_d-power-free certificate for every d-bonacci prefix",conditional_interface_discharged_in_prose
T166,"machine-checked Lean; generic finite-word sibling",lower_energy,"only diagonal lower bound legalStartCount<=collisionEnergy; no source-specific language-size theorem","T186 uses S1 exact d-bonacci complexity and Cauchy--Schwarz",not_covered
T176,"pinned literature; collision deductions proof sketch",source_theorem_mechanism,"Cantor Mahler heavy fiber; one automatic repeated offset; incomplete and complete structured sums","no d-bonacci source, no uniform power certificate, and no all-m,N two-sided energy theorem",no_duplicate
T176,"pinned literature; collision deductions proof sketch",uniform_range,"coherent logarithmic schedules or screened mechanisms","T186 gives a proof sketch for every m>=1 and N>=2m with constants depending only on d",no_duplicate
T184,"unverified proof-sketch note; S1 source pin literature-checked",family_and_source,"same d-bonacci S1 tuple; note uses exact nrC Theorem 20 for an every-window linear off-diagonal floor","T186 makes no source novelty claim and uses a different S1 clause: exact factor complexity plus independent S2/T166 upper packing",source_overlap_declared
T184,"unverified proof-sketch note; S1 source pin literature-checked",NR_ENERGY_MULTIPLICITY,"note names absence of global factor-fiber upper control and does not prove Theta(N^2/m)","T186 supplies at proof-sketch level c_d=1/(2(d-1)), C_d=32D_dD_(2d+1), N0(d)=2 uniformly for m>=1,N>=2m",gap_closed_for_named_family
T184,"unverified proof-sketch note; S1 source pin literature-checked",endpoint_and_ordering,"note uses starts 0..N-1, symbols through N+m-2, overlaps, ordered pairs, diagonal included","T186 matches these clauses exactly and cross-checks them against T166",covered_not_novel
