item,tuple_id,stable_id,exact_locator,theorem_range,normalized_fingerprint,exclusion_boundary
T179,S1,arXiv:math/0505198v2,"Theorem 1.1 printed p. 2","small doubling implies a coset progression with explicit dimension and size bounds",small_doubling_coset_progression_classification,"exclude T179 C-FREIMAN and its heavy-lag application"
T179,S2,arXiv:1709.05539v2,"definition of P_gamma(A) and Theorem 4 printed p. 4; proof p. 10","popular differences have bounded independent dimension",popular_difference_independent_dimension_compression,"exclude T179 C-POPULAR and its exact heavy-lag embedding"
T179,S3,arXiv:1603.07720v3,"Khintchine statement printed p. 1; Theorems 2.1-2.2 p. 3","system-dependent under-recurrence and over-recurrence",symbolic_recurrence_sign_variability,"exclude T179 C-RECURRENCE"
T179,S4,arXiv:2511.02080v2,"return definition printed p. 2; Theorem A p. 3","minimal polynomial return sets agree with pronilfactor sets off a non-piecewise-syndetic error",pronil_polynomial_return_set_classification,"exclude T179 C-PRONIL"
T179,S5,arXiv:1508.07109v2,"Theorems 3.2-3.3 and Lemma 3.5 printed pp. 7-9","large Fourier spectrum covered by few generators via entropy",entropy_large_spectrum_covering,"exclude T179 C-SPECTRUM"
T179,S6,arXiv:1707.09707v5,"Theorem 2.1 and Lemma 3.2 printed pp. 1-3","triple modular exponential sum controlled using geometric-progression energy",geometric_progression_triple_exponential_sum,"exclude T179 C-TRIPLE-SUM"
T180,S1,arXiv:2504.09650v2,"Theorem 1 pp. 2-3; Theorem 4 and Corollary 1 pp. 3-4; proof pp. 9-11","deterministic near integers over binary-quadratic-form represented denominators",quadratic_form_represented_denominator_hits,"exclude every T180 S1 source/theorem/fingerprint"
T180,S2,arXiv:2603.16794v3,"Theorems 1.1-1.2 p. 2; proofs pp. 3-8","floor-defect nonperiodicity forces alternating rational-power orbit diameter",alternating_rational_power_diameter,"exclude every T180 S2 source/theorem/fingerprint"
T180,S3,arXiv:1802.10355v1,"definitions pp. 1-3; Lemmas 3.4-3.6 and Theorem 3.7 pp. 5-7","maximal extension and gamma-cover packing bound gapped-repeat descriptors",maximal_gapped_repeat_descriptor_packing,"exclude every T180 S3 source/theorem/fingerprint"
T180,S4,arXiv:1407.4100v1,"Definitions 1-2 pp. 11-16; Theorem 4 and equations (35)-(36) pp. 32-33","p-adic analytic B-process for short rational phases",p_adic_analytic_short_sum_B_process,"exclude every T180 S4 source/theorem/fingerprint"
