items,recorded_level_or_status,closed_fingerprint_or_reason,use_as_premise
T63,recorded audit,BBP rational-tail phase applicability,no
T68,recorded audit,factorial modular representation,no
T78-T82,recorded audits and accepted-sketch boundary,pi representation inventory and comparison,no
T85,recorded audit,pi-specific direction scout,no
T164,accepted sketch,return descriptor loses collision multiplicity,no
T166,machine-checked interface,power-free finite-word packing,no
T176,accepted sketch,Mahler automatic and structured-sum screening,no
T181,accepted sketch,cross-domain negative scout,no
T183,accepted sketch,overlapping iid concentration,no
T184,accepted sketch,d-bonacci every-window floor,no
T185,no accepted artifact in supplied library,unavailable; no availability claim,no
T186,accepted sketch,d-bonacci two-sided energy,no
T187,accepted sketch,fractional iid deletion obstruction,no
T188,revise pipeline and no artifacts,no usable mechanism,no
