item,available_level,source_or_comparator,mechanism,T160_boundary
T89,LC/PS/EXP,t89/REPORT.md ad90a5a5084f7ef19f4fce052ae99330f0cab9103f2942ee164d713de2a8b5b9,"Kempner/Fredholm and automatic/Mahler collision-rich siblings",exclude representation and artificial sibling
T90,LC/PS,t90/REPORT.md 730c5cdaf154bd375084a243fc82ebf6ab4ce2c1e234baf43515d4aaea34cfc0,"explicit normal points and Stoneham orbit",exclude prior named-point discrepancy and Stoneham
T91,PS/EXP,notes/t91/REPORT.md a684f15960a176f37ee2e8e853313e05e0e2e8de9674be2fcd744f59fe62573e,"substitution collision multiplicity",unverified note boundary; exclude finite-state model
T92,MC/PS,t92/T92ConstantRunDiscriminator.lean,"constant-run discriminator",separator only
T93,PS,notes/t93/REPORT.md 2ff685b20920f5a2d71db2b8a300ce8c2762152c3d4b2c59236b160ed812f8ae,"Stoneham rational skeleton",unverified note; exclude Stoneham
T94,PS/EXP,notes/t94/REPORT.md f399dfac1990b3cc4a6c9e69127a1ceff22356c6b656ec2e3a1b9045be6efa10,"paperfolding tensor recurrence",unverified finite-state sibling
T95,PS with MC imports,notes/t95/REPORT.md 08baad91851c1d25ceaa82f86cbe8b728ca2c063f31f01f83c5fa96aea45d8cb,"exact-word overlap/period charging",nearest repeat-charging comparator; no claim imported
T96,LC/PS/EXP,notes/t96/REPORT.md de8940fd7927a20d88626cec7ae8b411cd2788c1fdecb762496a72c8f18019aa,"Stoneham skeleton cosets",exclude model occupancy
T97,PS/EXP,notes/t97/REPORT.md fb3c58a436d173902ccf3577dc02d1702403f681d6cc08a39481e1c73cd31a8e,"paperfolding energy envelope",exclude finite-state model
T98,PS with MC imports,notes/t98/REPORT.md b6b8d30499543fadf5be200b85afe3929dcba5b7a7d96061476965060c589f57,"exact-word to metric transport",target transport only
T99,LC/PS,notes/t99/REPORT.md 9778fd0fdc3151b0e3f8888afdb1d1049347e926d266f2981e7daa3bc44af2b4,"exceptional-prime Stoneham repetition",exclude Stoneham
T100,MC,t100/T100UniversalCharging.lean 8fa767cf17deb3ff7b17f94d2d57679122c7cc46e1d9d7a2286846e12ae51787,"universal short-to-remote equality charging",nearest charging interface; T160 does not duplicate it
T101,PS/EXP,notes/t101/REPORT.md ddd24794d6e6795a4aa466819782aa63a6578d70746ce4d592bb18ef644c243e,"paperfolding successor splitting",exclude finite-state model
T102,LC/PS/EXP,notes/t102/REPORT.md 49a63d0003102728766a41e026400f3bc69e9baeb42e66338510bcbecc1d6304,"Stoneham residue-coset repetition",exclude Stoneham
T103,LC/PS/EXP,t103/REPORT.md ed690a31fbc19d08c817bcb2558ec259788e37d4f8243261ece1b9eafbbb5df0,"positive-entropy Toeplitz point",exclude invariant-measure and model route
T104,LC/PS/EXP,t104/REPORT.md 2dee0c91ce8480785a851df4aad06e0ab65f92e647fa7f67605b868129fc16d5,"Mahler/fractal/metric lacunary Fourier",exclude broad Fourier fixture T104/T138
T105,LC/PS/EXP,t105/REPORT.md ff63d5a956765beda402cc36e953a6f678ad1bf900254e6e2e8a20326842ed9f,"additive energy and flattening",exclude additive-energy route
T106,MC conditional,t106/FiniteBranchingResonanceTree.lean 824971b102f33b41f6c2f79ad616cc03b1ce83d59aec5edafa836f2cafa89f61,"finite branching resonance tree",target obstruction only
T107,MC conditional,t107/T107AveragedTriangularFejer.lean 45cb809d65c38b866ad7c46c913d617c61f8e97e777ccdec8ed9645e4982ae28,"triangular Fejer boundary/remainder interface",target interface; cannot be assumed or renamed
T108,MC conditional,t108/T108LiteralTransport.lean 97f6333ee777b45b842530876ac5e6d29309cfe0987a1ce669690c86c8e5caee,"literal exact-word to metric transport",transport only
T109,LC/PS rejected,t117/prior-t109-REPORT.md 6b4f27464b76c67ea6fe41990f9ed6d3242c8c763b880fb4862fbac16f3ffcdf,"Markov shadowing/Wasserstein",exclude failed certificate
