item,verification_boundary,normalized_fingerprint,T187_separation
T144,unverified proof-sketch note,residue extraction to disjoint blocks plus Renyi/Shannon method-of-types census,T187 tests one product-space fractional coordinate-deletion surrogate and proves its dropped-coordinate measurability failure; no census or residue extraction
T145,unverified proof-sketch note,Landau integrality and positive carry-cycle mechanism,T187 is iid decimal-block concentration and has no factorial-ratio carry graph
T146,rejected duplicate fixture,replay of T136 Mahler/Fourier/structured-sum tuples,T187 uses none of those tuples or arithmetic Fourier mechanisms
T147,unverified proof-sketch note,shared-prefix counterfamily against additive multidepth entropy savings,T187 is a one-depth coordinate-measurability obstruction and does not use the prefix family
T148,unverified proof-sketch note,periodic carry-orbit sign-loss counterfamily,T187 has no Landau atom or periodic carry state
T149,literature-checked sources with proof-sketch deductions,weighted three-point PSD and maximum-occupancy boundary,T187 preserves multiplicity but tests a deletion surrogate rather than Hamming PSD moments or occupancy
T150,literature-checked sources with proof-sketch deductions,separately-Lipschitz Gibbs concentration and multidepth census with m^4 loss,T187 uses iid product coordinates and isolates failure of fractional deletion measurability; no Gibbs or multidepth census
T151,unverified proof-sketch note,integrality-to-positive-carry-cycle quantitative inequality,T187 has no factorial ratios or valuations
T152,unverified proof-sketch note,maximal-bad-depth localization plus fractional coordinate-cover entropy census,"The word fractional is not duplication: T152 fractionally covers block intervals for entropy; T187 fractionally allocates each realized collision to its digit-support coordinates and tests a concentration-theorem surrogate"
T153,literature-checked sources with proof-sketch deductions,logarithmic locality and k-Abelian/de-Bruijn-flow census,T187 assumes no short-factor certificate and uses no Euler-flow equivalence class
T154,unverified proof-sketch note,finite reuse-capacity entropy LP and coordinate-price dual,T187 has no multidepth LP or dual; its fractional weights occur inside one proposed coordinate-deletion function
T159,literature-checked source with unverified proof-sketch deduction,marked Palm-Stein process for unordered off-diagonal overlapping collisions,T187 uses the same primitive collision indicators only as a scalar product-space function and makes no process approximation
T160,literature-checked sources with proof-sketch deductions,closed repeats Champernowne multiplicity recurrence and short trace sums,T187 has no deterministic recurrence Champernowne or trace-sum input
T161,unverified proof-sketch note,maximal same-lag chain declumping and compound-Poisson cumulants,T187 does not declump and the obstruction already holds on the all-zero word
T162,literature-checked sources with proof-sketch deductions,minimum return separation and order-sensitive symbolic candidates,T187 assumes no return gap and tests an iid deletion certificate
T163,literature-checked sources with proof-sketch deductions,GCD covering denominator-shell Fourier decay and Renyi-2 cross-match,T187 is a single-track exact-equality concentration obstruction with no arithmetic shell or independent-track cross-match
T164,unverified proof-sketch note,primitive-substitution power-freeness and effective return separation,T187 is iid and has no substitution or power-free premise
T165,unverified proof-sketch note,Champernowne alignment carry arithmetic-fiber counting,T187 has no artificial concatenation or arithmetic fibers
T166,machine-checked finite-word theorem,power-free equal-factor separation and collision packing,T187 neither imports nor restates its finite-word definitions and assumes no power-free certificate
T167,literature-checked sources with proof-sketch screens,residue-interleaving support entropy and algebraic-power repulsion,T187 uses neither language-support entropy nor algebraic powers
T168,unverified proof-sketch note,mixed-lag collision-cluster equality-graph ranks and intensities,T187 makes no cluster-negligibility claim; its witness sums all collision pairs on a constant word
T169,unverified proof-sketch note,sharp centered Champernowne pair-class asymptotic,T187 concerns iid inputs and no deterministic successor/carry class
T170,unverified proof-sketch note,ordinary third-cumulant equality-rank expansion and positive triangle contribution,T187 makes no cumulant or Gaussian approximation
T171,literature-checked sources with proof-sketch screens,automatic correlation restricted-denominator metric counting and self-similar Fourier decay,T187 reuses none of those three tuples and stays in iid symbolic concentration
T172,unverified proof-sketch note,fourth-cumulant equality-rank classification and occupancy-clique nonabsorption,T187 keeps the complete digit function but computes no fourth cumulant and uses no occupancy closure
T177,unverified proof-sketch note with pinned sources,McDiarmid m^4 tail and effective randomness test for ordered diagonal-inclusive energy,T187 seeks neither a randomness test nor a named point; it tests a fixed fractional deletion proposal
T183,literature-checked source statements with proof-sketch application,whole-support digit deletion generalized self-bounding certificate yielding m^3,T187 uses the same pinned theorem only to test a distinct fractional charge; it proves that fractionalization destroys the coordinate-deleted surrogate hypothesis and neither rederives nor claims T183's m^3 result
